name,longitude,latitude,distance,gain,elevation,reward_scale,address,altitude
swift-green-rooster,-79.03446804,43.89318174,18297.34096,80,8,0.990097046,11qRnvHv4XvFeHEyxdPeE2aMcKaLGZ8sfKweWbgyQq6sTCjiVME,116
blunt-brick-ferret,-79.02796981,43.87327234,18304.49799,28,1,,112q96JxA9BYVqrLCwRButGH1xkbxEQwEsTDhGpHQ542eX9gN33U,118
hidden-sand-jellyfish,-79.01544391,43.84979224,18318.67503,28,0,0.666671753,11YYEisS68Ua5xQz1P9WoijhKz2yEGTopSv8s1s5XcE5DBXF5Hf,102
wobbly-clear-lemur,-79.01050696,43.84260023,18330.28481,80,10,0.800003052,112L6AygMUTBPSSvfow57a7G4fmc6Xis1d8K12AvLwRtgxyGxV1r,88
virtual-cloud-hedgehog,-79.03223671,43.8809626,18405.15265,12,0,,11hnZdyGcZ9ATsyDQ8VVttqCbMdG9rvZ5yauP1yr3jkTd759JWa,104
raspy-flaxen-sparrow,-79.03118469,43.87805478,18405.27598,12,0,0.942947388,1122PB4RQHcHbUtW59Pd1NvyXo5URAyyMGoLhaSugLSQdNRtWJAe,104
ambitious-mahogany-armadillo,-78.58082063,43.91785756,18413.22386,120,4,1,11jfXvR689MQz1D6DePVakfwJtJ2Rc7dUBNxKrZJpUykgbYZWV4,97
dazzling-peanut-piranha,-79.03644612,43.89259466,18465.1688,40,4,0.990097046,11STESreFXBtyCb7UYqHM86oUKHPw4uztZXiaizTcPifhEjzo6j,116
quiet-olive-bear,-78.58237523,43.89802162,18469.26701,40,6,0.833328247,112pKNDZZs44LvmvXR3u8Ao9VLWhJwM1AWvLJj4DCa3nbEDreZPY,80
tiny-seafoam-rook,-79.02362536,43.85979636,18472.61223,30,8,1,11ZdVrYMVwcqsK2t1aJQRL6aYSfvpRtXEWiqikmv8DXU95PpoEb,107
mythical-steel-eagle,-79.03312831,43.88095706,18474.7867,58,8,0.942947388,112wD1bEVAQbbddgu1wLqpgZSZNMRrGPaBMKBpMfcZcFa4A3bVq9,104
original-rusty-pheasant,-79.02851104,43.86941089,18475.96302,80,10,0.900085449,112vasJTSZkGNrhJ2UcpFCBqKuKNE7Xh2tRVVXVwenqiB7uo9eVs,118
joyous-sapphire-quail,-79.0030124,43.83058255,18496.88169,40,5,1,112gS4rvAYrygDcKPzZ4CbCkmeH9Ebm2NTxGiJewKVrUZNLhWr9c,88
soaring-quartz-scorpion,-78.57948868,43.92204932,18515.7976,75,9,1,11DQKC71onbXSPDPbu9qDe2MDWz3hrV7QGKc76qEhjet1aHG7n7,114
blurry-grey-corgi,-78.58165346,43.8979001,18528.58384,40,10,0.833328247,11tdUxdrxE5ZMFASA4DKb3JXBGXAPn499JEgdvcoaB3aWvKTz2Y,80
itchy-vinyl-swift,-79.03277767,43.87710083,18556.7504,28,1,0.942947388,11Xsw4oRXfxg38YUN5prCJ9rek5JNGGfP2QTSDRydZspjHucyag,104
hot-mustard-cricket,-78.57893697,43.92180416,18560.03931,60,5,0.5,11UvSNrq8HiZFRiB3RDtAYHChvu5BrMFRrDgmgPwV5EPwsVGbNY,114
glorious-sky-ladybug,-79.0291406,43.86829885,18563.00262,40,7,0.606063843,11QtCh8JSwUdmHPPSfBjqopzhVEaefn18Y8oDtTiS1NrYh9Lw8j,118
